#CSV file for Lake Type 1. @author - Dom Potts
#Contains all the relevant values to build a lake on the Krooza Map
#Structured as Value 1 = Type, Value 2 = Subtype, Value 3 = Rotation
#Sub types: 0=water, 1=water_edge, 2=water_corner, 3=water_inner
W20,W10,W21,NNN,NNN,NNN,NNN,W20,W10,W10,W21
W13,W00,W31,W10,W21,NNN,NNN,W13,W00,W00,W11
W13,W00,W00,W00,W31,W21,NNN,W13,W00,W00,W11
W23,W33,W00,W00,W00,W31,W10,W30,W00,W32,W22
NNN,W13,W00,W00,W00,W00,W00,W00,W00,W11,NNN
W20,W30,W00,W00,W00,W00,W00,W00,W00,W31,W21
W13,W00,W00,W00,W00,W00,W00,W00,W00,W00,W11
W13,W00,W00,W32,W12,W12,W12,W33,W00,W00,W11
W23,W12,W33,W11,NNN,NNN,NNN,W13,W00,W00,W11
NNN,NNN,W23,W22,NNN,NNN,NNN,W13,W00,W32,W22
NNN,NNN,NNN,NNN,NNN,NNN,NNN,W23,W12,W22,NNN
